Statement,Truth,Share,Statement_FR,Truth_FR
The number of natural disasters is increasing due to climate change,Somewhat not true,8%,Le nombre de catastrophes naturelles augmente en raison du changement climatique,Plutôt faux
There is a group of people in Canada who are trying to replace native born Canadians with immigrants who agree with their political views,Somewhat not true,16%,Il existe un groupe de personnes au Canada qui essaient de remplacer les Canadiens de naissance par des immigrants qui partagent leurs opinions politiques,Plutôt faux
Climate change is a natural phenomenon not caused by human activities,Somewhat not true,24%,Le changement climatique est un phénomène naturel qui n’est pas causé par les activités humaines,Plutôt faux
The 15-minute city is designed to track and limit the movement of Canadians to their immediate neighbourhood,Somewhat not true,10%,La ville de 15 minutes est conçue pour suivre et limiter les mouvements des Canadiens à leur voisinage immédiat,Plutôt faux
A man's dating success is determined entirely by his physical attractiveness and so is determined at birth,Somewhat not true,24%,Le succès d’un homme dans ses relations amoureuses est entièrement déterminé par son attrait physique et est donc déterminé à la naissance,Plutôt faux
Bill Gates used the COVID-19 pandemic to push a vaccine with a microchip capable of tracking people,Somewhat not true,9%,Bill Gates a utilisé la pandémie de COVID-19 pour faire approuver un vaccin avec une micropuce capable de suivre les gens à la trace,Plutôt faux
"Ukrainian nationalism is a neo-Nazi movement, so Russia invaded Ukraine to protect people",Somewhat not true,9%,"Le nationalisme ukrainien est un mouvement néonazi, donc la Russie a envahi l’Ukraine pour protéger les gens",Plutôt faux
The Holocaust has been exaggerated,Somewhat not true,11%,L’Holocauste a été exagéré,Plutôt faux
The number of natural disasters is increasing due to climate change,Definitely not true,6%,Le nombre de catastrophes naturelles augmente en raison du changement climatique,Certainement faux
There is a group of people in Canada who are trying to replace native born Canadians with immigrants who agree with their political views,Definitely not true,33%,Il existe un groupe de personnes au Canada qui essaient de remplacer les Canadiens de naissance par des immigrants qui partagent leurs opinions politiques,Certainement faux
Climate change is a natural phenomenon not caused by human activities,Definitely not true,47%,Le changement climatique est un phénomène naturel qui n’est pas causé par les activités humaines,Certainement faux
The 15-minute city is designed to track and limit the movement of Canadians to their immediate neighbourhood,Definitely not true,25%,La ville de 15 minutes est conçue pour suivre et limiter les mouvements des Canadiens à leur voisinage immédiat,Certainement faux
A man's dating success is determined entirely by his physical attractiveness and so is determined at birth,Definitely not true,53%,Le succès d’un homme dans ses relations amoureuses est entièrement déterminé par son attrait physique et est donc déterminé à la naissance,Certainement faux
Bill Gates used the COVID-19 pandemic to push a vaccine with a microchip capable of tracking people,Definitely not true,66%,Bill Gates a utilisé la pandémie de COVID-19 pour faire approuver un vaccin avec une micropuce capable de suivre les gens à la trace,Certainement faux
"Ukrainian nationalism is a neo-Nazi movement, so Russia invaded Ukraine to protect people",Definitely not true,59%,"Le nationalisme ukrainien est un mouvement néonazi, donc la Russie a envahi l’Ukraine pour protéger les gens",Certainement faux
The Holocaust has been exaggerated,Definitely not true,70%,L’Holocauste a été exagéré,Certainement faux
The number of natural disasters is increasing due to climate change,Don't know,7%,Le nombre de catastrophes naturelles augmente en raison du changement climatique,Je ne sais pas
There is a group of people in Canada who are trying to replace native born Canadians with immigrants who agree with their political views,Don't know,26%,Il existe un groupe de personnes au Canada qui essaient de remplacer les Canadiens de naissance par des immigrants qui partagent leurs opinions politiques,Je ne sais pas
Climate change is a natural phenomenon not caused by human activities,Don't know,6%,Le changement climatique est un phénomène naturel qui n’est pas causé par les activités humaines,Je ne sais pas
The 15-minute city is designed to track and limit the movement of Canadians to their immediate neighbourhood,Don't know,45%,La ville de 15 minutes est conçue pour suivre et limiter les mouvements des Canadiens à leur voisinage immédiat,Je ne sais pas
A man's dating success is determined entirely by his physical attractiveness and so is determined at birth,Don't know,7%,Le succès d’un homme dans ses relations amoureuses est entièrement déterminé par son attrait physique et est donc déterminé à la naissance,Je ne sais pas
Bill Gates used the COVID-19 pandemic to push a vaccine with a microchip capable of tracking people,Don't know,16%,Bill Gates a utilisé la pandémie de COVID-19 pour faire approuver un vaccin avec une micropuce capable de suivre les gens à la trace,Je ne sais pas
"Ukrainian nationalism is a neo-Nazi movement, so Russia invaded Ukraine to protect people",Don't know,24%,"Le nationalisme ukrainien est un mouvement néonazi, donc la Russie a envahi l’Ukraine pour protéger les gens",Je ne sais pas
The Holocaust has been exaggerated,Don't know,11%,L’Holocauste a été exagéré,Je ne sais pas
